05:34:15.988 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.990 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.991 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.992 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.993 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.994 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.996 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.997 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.997 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:15.999 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:16.000 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:151.05599999999998,gaze_y:810.33
05:34:16.129 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:385.48800000000006,gaze_y:25.35000000000001
05:34:16.131 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:385.48800000000006,gaze_y:25.35000000000001
05:34:16.132 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:385.48800000000006,gaze_y:25.35000000000001
05:34:16.134 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:385.48800000000006,gaze_y:25.35000000000001
05:34:16.134 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:385.48800000000006,gaze_y:25.35000000000001
05:34:16.135 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:385.48800000000006,gaze_y:25.35000000000001
05:34:16.136 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:385.48800000000006,gaze_y:25.35000000000001
05:34:16.137 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:385.48800000000006,gaze_y:25.35000000000001
05:34:16.139 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:385.48800000000006,gaze_y:25.35000000000001
05:34:16.140 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:385.48800000000006,gaze_y:25.35000000000001
05:34:16.142 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:385.48800000000006,gaze_y:25.35000000000001
05:34:16.142 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:385.48800000000006,gaze_y:25.35000000000001
05:34:16.143 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:385.48800000000006,gaze_y:25.35000000000001
05:34:16.161 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:388.94399999999996,gaze_y:56.849999999999994
05:34:16.163 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:388.94399999999996,gaze_y:56.849999999999994
05:34:16.164 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:388.94399999999996,gaze_y:56.849999999999994
05:34:16.166 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:388.94399999999996,gaze_y:56.849999999999994
05:34:16.167 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:388.94399999999996,gaze_y:56.849999999999994
05:34:16.169 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:388.94399999999996,gaze_y:56.849999999999994
05:34:16.170 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:388.94399999999996,gaze_y:56.849999999999994
05:34:16.170 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:388.94399999999996,gaze_y:56.849999999999994
05:34:16.172 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:388.94399999999996,gaze_y:56.849999999999994
05:34:16.172 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:388.94399999999996,gaze_y:56.849999999999994
05:34:16.174 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:388.94399999999996,gaze_y:56.849999999999994
05:34:16.175 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:388.94399999999996,gaze_y:56.849999999999994
05:34:16.177 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:388.94399999999996,gaze_y:56.849999999999994
05:34:16.178 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:388.94399999999996,gaze_y:56.849999999999994
05:34:16.178 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:388.94399999999996,gaze_y:56.849999999999994
05:34:16.180 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:369.36,gaze_y:77.55000000000001
05:34:16.181 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:369.36,gaze_y:77.55000000000001
05:34:16.183 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:369.36,gaze_y:77.55000000000001
05:34:16.184 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:369.36,gaze_y:77.55000000000001
05:34:16.186 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:369.36,gaze_y:77.55000000000001
05:34:16.187 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:369.36,gaze_y:77.55000000000001
05:34:16.188 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:369.36,gaze_y:77.55000000000001
05:34:16.189 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:369.36,gaze_y:77.55000000000001
05:34:16.190 [INFO    ] tobii_test_qt:105 >> gaze data: gaze_x:369.36,gaze_y:77.55000000000001
